experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260710T141732.186490574Z,baseline-c100,1783693086224,-169,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
reaction-20260710T141732.186490574Z,fair-c100,1783693086377,82,first_a_sqs_sent_timestamp,36,21,1.714286,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693087218,825,first_a_sqs_sent_timestamp,60,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T141732.186490574Z,fair-c100,1783693087246,951,first_a_sqs_sent_timestamp,68,36,1.888889,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693088217,1824,first_a_sqs_sent_timestamp,64,10,6.400000,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693088246,1951,first_a_sqs_sent_timestamp,78,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T141732.186490574Z,baseline-c100,1783693089236,2843,first_a_sqs_sent_timestamp,64,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T141732.186490574Z,fair-c100,1783693089289,2994,first_a_sqs_sent_timestamp,49,66,0.742424,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693090219,3826,first_a_sqs_sent_timestamp,64,30,2.133333,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693090251,3956,first_a_sqs_sent_timestamp,60,73,0.821918,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693091217,4824,first_a_sqs_sent_timestamp,32,15,2.133333,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693091244,4949,first_a_sqs_sent_timestamp,66,71,0.929577,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693092228,5835,first_a_sqs_sent_timestamp,58,65,0.892308,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693092274,5979,first_a_sqs_sent_timestamp,64,37,1.729730,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693093216,6823,first_a_sqs_sent_timestamp,63,32,1.968750,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693093244,6949,first_a_sqs_sent_timestamp,55,64,0.859375,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693094216,7823,first_a_sqs_sent_timestamp,91,62,1.467742,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693094243,7948,first_a_sqs_sent_timestamp,69,27,2.555556,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693095217,8824,first_a_sqs_sent_timestamp,79,29,2.724138,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693095246,8951,first_a_sqs_sent_timestamp,70,74,0.945946,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693096215,9822,first_a_sqs_sent_timestamp,75,62,1.209677,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693096242,9947,first_a_sqs_sent_timestamp,81,66,1.227273,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693097215,10822,first_a_sqs_sent_timestamp,88,59,1.491525,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693097243,10948,first_a_sqs_sent_timestamp,83,31,2.677419,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693098219,11826,first_a_sqs_sent_timestamp,82,44,1.863636,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693098249,11954,first_a_sqs_sent_timestamp,91,54,1.685185,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693099218,12825,first_a_sqs_sent_timestamp,94,57,1.649123,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693099248,12953,first_a_sqs_sent_timestamp,93,81,1.148148,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693100217,13824,first_a_sqs_sent_timestamp,82,84,0.976190,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693100247,13952,first_a_sqs_sent_timestamp,73,71,1.028169,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693101257,14864,first_a_sqs_sent_timestamp,80,79,1.012658,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693101285,14990,first_a_sqs_sent_timestamp,93,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T141732.186490574Z,baseline-c100,1783693102215,15822,first_a_sqs_sent_timestamp,72,69,1.043478,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693102243,15948,first_a_sqs_sent_timestamp,92,105,0.876190,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693103218,16825,first_a_sqs_sent_timestamp,82,84,0.976190,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693103247,16952,first_a_sqs_sent_timestamp,82,69,1.188406,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693104213,17820,first_a_sqs_sent_timestamp,99,83,1.192771,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693104242,17947,first_a_sqs_sent_timestamp,97,87,1.114943,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693105217,18824,first_a_sqs_sent_timestamp,97,81,1.197531,true,true,true,ok
